lhs,rhs,pareq_result
d_000,k0,0.001643394
d_110,a1*k1 + b1*k2 - c1,0.8973153912789109
d_101,a2*k1 + b2*k2 - c2,0.4071932389090186
d_100,a3*k1 + b3*k2 - c3,-1.3118839020577144
d_220,a1**2*k3 + a1*b1*k4 + b1**2*k5,-0.3128688463478883
d_330,a1**3*k6 + a1**2*b1*k7 + a1*b1**2*k8 + b1**3*k9,1.0534362501230063
d_202,a2**2*k3 + a2*b2*k4 + b2**2*k5,-0.3157483283534651
d_303,a2**3*k6 + a2**2*b2*k7 + a2*b2**2*k8 + b2**3*k9,0.93462393175588
d_200,a3**2*k3 + a3*b3*k4 + b3**2*k5,-0.09191410329864645
d_300,a3**3*k6 + a3**2*b3*k7 + a3*b3**2*k8 + b3**3*k9,-0.013142792646241595
d_211,2*a1*a2*k3 + a1*b2*k4 + a2*b1*k4 + 2*b1*b2*k5,0.7590771006031121
d_210,2*a1*a3*k3 + a1*b3*k4 + a3*b1*k4 + 2*b1*b3*k5,0.3469878996010749
d_312,3*a1*a2**2*k6 + 2*a1*a2*b2*k7 + a1*b2**2*k8 + a2**2*b1*k7 + 2*a2*b1*b2*k8 + 3*b1*b2**2*k9,-2.074803792120009
d_310,3*a1*a3**2*k6 + 2*a1*a3*b3*k7 + a1*b3**2*k8 + a3**2*b1*k7 + 2*a3*b1*b3*k8 + 3*b1*b3**2*k9,0.29107640846896415
d_201,2*a2*a3*k3 + a2*b3*k4 + a3*b2*k4 + 2*b2*b3*k5,-0.37108719030286785
d_321,3*a1**2*a2*k6 + a1**2*b2*k7 + 2*a1*a2*b1*k7 + 2*a1*b1*b2*k8 + a2*b1**2*k8 + 3*b1**2*b2*k9,0.20771277395662346
d_301,3*a2*a3**2*k6 + 2*a2*a3*b3*k7 + a2*b3**2*k8 + a3**2*b2*k7 + 2*a3*b2*b3*k8 + 3*b2*b3**2*k9,0.355014958784053
d_320,3*a1**2*a3*k6 + a1**2*b3*k7 + 2*a1*a3*b1*k7 + 2*a1*b1*b3*k8 + a3*b1**2*k8 + 3*b1**2*b3*k9,-1.0562878296510383
d_302,3*a2**2*a3*k6 + a2**2*b3*k7 + 2*a2*a3*b2*k7 + 2*a2*b2*b3*k8 + a3*b2**2*k8 + 3*b2**2*b3*k9,1.199962364580633
d_311,6*a1*a2*a3*k6 + 2*a1*a2*b3*k7 + 2*a1*a3*b2*k7 + 2*a1*b2*b3*k8 + 2*a2*a3*b1*k7 + 2*a2*b1*b3*k8 + 2*a3*b1*b2*k8 + 6*b1*b2*b3*k9,-0.85836961014258
